user_id,experiment_date,experiment_day,variant,device,country,traffic_source,new_user,sessions,checkout_started,purchase,revenue,payment_failed,refund,page_load_time_ms,exposure_logged
100001,2026-02-08,35,A,Desktop,AU,Organic,True,1,True,False,0.0,False,False,2536.9,True
100002,2026-01-07,3,B,Desktop,US,Organic,True,1,False,False,0.0,False,False,2724.5,True
100003,2026-02-09,36,A,Mobile,AU,Organic,True,1,True,False,0.0,False,False,2746.7,True
100004,2026-01-14,10,B,Mobile,CA,Paid Search,True,3,True,True,31.39,False,False,2723.9,True
100005,2026-01-09,5,B,Mobile,UK,Organic,True,9,False,False,0.0,False,False,2540.0,True
100006,2026-01-20,16,B,Mobile,CA,Referral,False,2,False,False,0.0,False,False,2556.5,True
100007,2026-01-05,1,B,Desktop,UK,Paid Search,True,1,False,False,0.0,False,False,2264.6,True
100008,2026-02-10,37,A,Desktop,Other,Paid Search,False,5,False,False,0.0,False,False,2794.3,True
100009,2026-01-10,6,B,Mobile,IN,Paid Search,False,5,True,False,0.0,False,False,2964.0,True
100010,2026-01-12,8,A,Mobile,Other,Organic,False,2,False,False,0.0,False,False,2916.5,True
100011,2026-02-03,30,A,Desktop,DE,Organic,False,3,False,False,0.0,False,False,3114.0,True
100012,2026-02-08,35,B,Mobile,DE,Organic,False,4,True,False,0.0,False,False,2660.0,True
100013,2026-01-11,7,B,Mobile,Other,Organic,False,3,False,False,0.0,False,False,2630.2,True
100014,2026-01-15,11,B,Desktop,US,Paid Search,True,2,False,False,0.0,False,False,2609.1,True
100015,2026-02-14,41,B,Mobile,US,Organic,True,8,False,False,0.0,False,False,3182.3,True
100016,2026-01-23,19,B,Desktop,DE,Organic,True,1,True,True,109.48,True,False,2474.6,True
100017,2026-01-17,13,A,Mobile,CA,Referral,True,1,False,False,0.0,False,False,2786.1,True
100018,2026-01-12,8,A,Mobile,Other,Organic,False,3,False,False,0.0,False,False,2636.0,True
100019,2026-02-11,38,A,Mobile,Other,Organic,False,11,False,False,0.0,False,False,2642.6,True
100020,2026-02-07,34,A,Mobile,UK,Paid Search,True,6,False,False,0.0,False,False,2600.9,True
100021,2026-01-21,17,B,Mobile,Other,Organic,False,4,False,False,0.0,False,False,3208.2,True
100022,2026-02-11,38,A,Mobile,Other,Paid Search,False,4,False,False,0.0,False,False,3298.8,True
100023,2026-02-02,29,B,Mobile,IN,Paid Search,True,1,False,False,0.0,False,False,2614.7,True
100024,2026-01-10,6,A,Desktop,US,Email,True,3,False,False,0.0,False,False,2704.6,True
100025,2026-01-13,9,B,Mobile,CA,Organic,False,5,False,False,0.0,False,False,2673.1,True
100026,2026-01-27,23,A,Mobile,Other,Email,False,4,True,False,0.0,False,False,3108.5,True
100027,2026-01-07,3,B,Mobile,IN,Paid Search,True,2,False,False,0.0,False,False,3117.5,True
100028,2026-01-30,26,B,Mobile,US,Organic,False,3,False,False,0.0,False,False,2979.7,True
100029,2026-01-24,20,A,Mobile,IN,Paid Search,True,6,True,False,0.0,False,False,2724.9,True
100030,2026-02-14,41,A,Mobile,US,Paid Search,False,6,True,False,0.0,False,False,2589.3,True
100031,2026-02-15,42,A,Mobile,DE,Organic,True,4,False,False,0.0,False,False,2567.1,True
100032,2026-01-10,6,A,Mobile,Other,Paid Search,True,4,False,False,0.0,False,False,2784.8,True
100033,2026-01-15,11,B,Mobile,UK,Social,True,1,True,False,0.0,False,False,3568.7,True
100034,2026-02-12,39,A,Desktop,UK,Organic,False,2,True,True,64.27,False,False,2557.8,True
100035,2026-01-31,27,A,Mobile,UK,Social,True,3,False,False,0.0,False,False,2635.4,True
100036,2026-01-17,13,A,Mobile,Other,Organic,True,1,False,False,0.0,False,False,2993.0,True
100037,2026-01-07,3,B,Desktop,Other,Social,True,3,True,True,40.52,False,False,2806.2,True
100038,2026-01-23,19,A,Desktop,Other,Organic,False,4,False,False,0.0,False,False,2585.8,True
100039,2026-01-05,1,B,Desktop,US,Paid Search,False,5,False,False,0.0,False,False,2271.3,True
100040,2026-01-18,14,B,Mobile,IN,Social,False,2,True,False,0.0,False,False,2884.9,True
100041,2026-02-01,28,B,Mobile,DE,Social,True,3,True,False,0.0,False,False,2943.7,True
100042,2026-01-19,15,B,Mobile,UK,Paid Search,True,2,True,False,0.0,False,False,2685.3,True
100043,2026-02-14,41,B,Tablet,UK,Email,False,3,False,False,0.0,False,False,3073.9,True
100044,2026-01-23,19,B,Mobile,IN,Organic,True,3,True,False,0.0,False,False,2487.3,True
100045,2026-01-19,15,B,Mobile,IN,Paid Search,True,1,False,False,0.0,False,False,2807.9,True
